wf_name,num_nodes,max_indeg,deadline_const,rel_const,sota,bcpswa,random,sb_lft,sb_dd,dynamic
CyberShake_100.txt,102,48,24.7613,0.977733,24.7576,9.90452,24.68,24.7586,24.73,23.5912
CyberShake_50.txt,52,23,28.4979,0.973663,28.4916,11.3992,27.7668,28.4978,28.4916,26.0955
Epigenomics_100.txt,102,24,3240.18,0.978925,3152.29,1296.07,2761.22,3237.24,3237.24,2280.3
Epigenomics_24.txt,26,5,605.344,0.950037,575.623,242.138,439.071,601.319,605.335,502.354
Epigenomics_46.txt,49,5,838.237,0.990792,837.536,335.295,836.669,834.444,792.048,736.629
Inspiral_100.txt,102,11,144.557,0.955529,144.514,57.8227,144.404,144.531,128.924,112.873
Inspiral_1000.txt,1002,40,153.302,0.951542,153.297,61.3209,151.602,153.204,97.0794,149.09
Inspiral_30.txt,32,7,144.819,0.994182,144.803,57.9277,123.504,143.535,101.676,104.857
Inspiral_50.txt,52,12,153.021,0.951679,152.889,61.2085,152.811,153.001,148.258,109.688
Montage_100.txt,102,62,7.67059,0.955651,7.66943,3.06824,6.48693,7.66979,7.6701,6.39198
Montage_1000.txt,1002,662,39.9647,0.964074,39.9613,15.9859,39.9631,39.6772,39.9576,33.4857
Montage_25.txt,27,9,5.04467,0.98424,5.04418,2.01787,4.87968,5.04063,5.04418,4.50295
Montage_50.txt,52,28,6.04796,0.963132,6.04783,2.41919,6.04256,6.04645,6.04783,4.97934
Sipht_100.txt,99,23,485.374,0.958028,482.375,194.15,420.082,476.135,408.699,396.154
Sipht_1000.txt,970,32,576.505,0.980248,563.205,230.602,449.288,569.561,476.067,497.979
Sipht_30.txt,31,17,478.21,0.984751,475.284,191.284,401.197,469.281,407.058,371.669
Sipht_60.txt,60,18,503.244,0.966059,500.272,201.298,204.292,503.14,441.871,414.018
avianflu_large.txt,2004,2000,234.283,0.969057,182.781,93.7131,93.7131,93.7131,93.7131,82.4509
avianflu_medium.txt,1004,1000,234.283,0.980709,182.781,93.7131,93.7131,93.7131,93.7131,83.0359
avianflu_small.txt,104,100,234.283,0.974972,229.929,93.7131,229.929,229.929,229.929,130.421
cadsr.txt,6,2,2.16928,0.97096,2.1509,0.867714,2.15975,2.14343,2.1509,1.60906
floodplain.txt,9,2,12690.3,0.981092,11502.9,5076.12,8805.91,11965.9,10842.3,8718.4
gene2life.txt,10,2,58.5707,0.951926,58.1226,23.4283,58.4948,58.3084,58.4713,60.9282
glimmer.txt,6,1,10.6295,0.98137,10.3331,4.2518,10.2732,10.6247,10.3331,5.70044
leadadas.txt,8,3,540.803,0.951984,491.699,216.321,536.158,519.558,503.9,358.62
leaddm..txt,5,1,24.9468,0.992777,24.5202,9.97871,24.4076,21.4505,24.5202,10.4961
leaddm.txt,5,1,24.9468,0.969904,24.5202,9.97871,24.4076,24.0009,24.5202,12.0708
leadmm..txt,8,3,540.803,0.974335,474.852,216.321,442.454,442.454,485.441,253.028
leadmm.txt,8,3,540.803,0.989148,474.852,216.321,442.454,442.454,483.539,213.377
mcstas.txt,5,1,483794,0.959802,201335,193518,193518,193518,193518,180866
mememast.txt,4,1,13.0157,0.96161,12.9054,5.20628,13.0116,13.0116,12.9054,8.3891
molsci.txt,7,2,110.633,0.960649,104.587,44.2534,97.6104,97.6104,110.624,54.4503
motif_large.txt,505,500,985.94,0.955088,883.963,394.376,394.376,394.376,394.376,376.145
motif_medium.txt,140,135,985.94,0.969592,883.963,394.376,394.376,394.376,394.376,492.243
motif_small.txt,15,10,985.94,0.995642,975.529,394.376,839.714,981.159,975.529,785.349
psload_large.txt,5086,1000,5.42321,0.972588,5.3648,2.16928,5.42273,5.33195,4.86072,5.51144
psload_medium.txt,491,100,5.42321,0.960223,5.3648,2.16928,5.42273,5.33195,4.86072,5.31714
psload_small.txt,6,1,5.42321,0.970641,5.37995,2.16928,5.18345,5.33195,5.37995,3.41496
psmerge_medium.txt,843,195,1600.93,0.980186,1397.16,640.373,640.373,640.373,640.373,898.919
psmerge_small.txt,82,77,1600.93,0.958653,1397.16,640.373,1501.92,1585.92,1501.92,1242.86
scoop_large..txt,103,100,97.7263,0.984008,84.448,39.0905,95.916,95.6821,95.6821,68.5319
scoop_large.txt,103,100,97.7263,0.995948,84.448,39.0905,95.6821,95.6821,95.6821,68.6681
scoop_medium.txt,53,50,97.7263,0.991699,84.448,39.0905,95.6821,95.6821,95.6821,63.4202
scoop_small.txt,8,5,97.7263,0.987291,84.448,39.0905,95.916,95.916,95.916,50.0867
