wf_name,num_nodes,max_indeg,deadline_const,rel_const,sota,bcpswa,random,sb_lft,sb_dd,dynamic
CyberShake_100.txt,102,48,10.5449,0.999238,10.5435,9.90452,10.3361,10.5441,10.2835,9.41586
CyberShake_50.txt,52,23,13.9071,0.971779,13.9068,11.3992,13.9065,13.9069,13.9068,13.2457
Epigenomics_100.txt,102,24,1730.2,0.980509,1723.3,1296.07,1527.98,1730.2,1730.2,1318.13
Epigenomics_24.txt,26,5,355.688,0.977188,355.685,242.138,355.412,355.685,355.685,289.198
Epigenomics_46.txt,49,5,419.885,0.990211,419.882,335.295,416.147,419.83,414.115,366.154
Inspiral_100.txt,102,11,69.894,0.992684,69.8923,57.8227,69.8466,69.879,69.5438,56.7768
Inspiral_1000.txt,1002,40,81.0208,0.965563,81.0208,61.3209,81.0184,81.0088,69.574,81.427
Inspiral_30.txt,32,7,82.3354,0.999136,82.2993,57.9277,69.7705,82.3324,81.5162,64.2492
Inspiral_50.txt,52,12,61.2413,0.976898,61.2379,61.2085,61.2334,61.2334,61.2379,54.3254
Montage_100.txt,102,62,3.70908,0.99294,3.70888,3.06824,3.70851,3.70889,3.70888,3.35624
Montage_1000.txt,1002,662,22.9523,0.968029,22.95,15.9859,22.9516,22.9419,22.9475,19.8382
Montage_25.txt,27,9,2.17938,0.956147,2.17866,2.01787,2.1791,2.17511,2.17866,2.19589
Montage_50.txt,52,28,2.6031,0.996935,2.60203,2.41919,2.59324,2.60301,2.58644,1.96968
Sipht_100.txt,99,23,248.134,0.963154,247.886,194.15,196.388,248.115,246.243,198.828
Sipht_1000.txt,970,32,313.7,0.982343,311.691,230.602,250.775,313.686,302.425,333.331
Sipht_30.txt,31,17,207.029,0.999923,206.892,191.284,191.284,191.284,191.284,158.505
Sipht_60.txt,60,18,244.79,0.98462,244.766,201.298,201.298,244.766,238.121,171.287
avianflu_large.txt,2004,2000,127.243,0.988087,93.7131,93.7131,93.7131,93.7131,93.7131,85.3705
avianflu_medium.txt,1004,1000,117.089,0.986775,93.7131,93.7131,93.7131,93.7131,93.7131,83.3391
avianflu_small.txt,104,100,124.233,0.990482,93.7131,93.7131,98.2926,98.2926,98.2926,62.349
cadsr.txt,6,2,0.890288,0.990847,0.883969,0.867714,0.880435,0.888562,0.883969,0.561167
floodplain.txt,9,2,6975.05,0.987267,6969.03,5076.12,6188.06,6969.03,6949.4,6076.26
gene2life.txt,10,2,27.1874,0.991628,26.9024,23.4283,27.171,27.1134,26.9024,17.0423
glimmer.txt,6,1,4.56102,0.992714,4.50113,4.2518,4.50435,4.48077,4.50113,3.01743
leadadas.txt,8,3,232.492,0.962015,232.485,216.321,231.618,227.948,231.701,171.642
leaddm..txt,5,1,13.024,0.952026,12.8537,9.97871,12.3773,12.3773,11.7603,6.76259
leaddm.txt,5,1,12.148,0.999855,11.0634,9.97871,10.3069,10.3069,10.4454,5.58275
leadmm..txt,8,3,232.155,0.960469,226.994,216.321,230.76,227.948,226.796,140.563
leadmm.txt,8,3,301.317,0.956672,235.978,216.321,244.885,301.295,257.384,157.853
mcstas.txt,5,1,225696,0.977396,201335,193518,193518,193518,193518,119010
mememast.txt,4,1,5.29132,0.966022,5.20628,5.20628,5.20628,5.20628,5.20628,4.76116
molsci.txt,7,2,55.7936,0.993246,55.6262,44.2534,55.4097,55.4097,55.6262,31.4377
motif_large.txt,505,500,557.838,0.992605,550.422,394.376,394.376,394.376,394.376,392.51
motif_medium.txt,140,135,527.391,0.97954,438.625,394.376,394.376,394.376,394.376,367.222
motif_small.txt,15,10,548.143,0.991956,438.625,394.376,452.363,536.371,452.363,389.167
psload_large.txt,5086,1000,2.36694,0.95757,2.36402,2.16928,2.34742,2.34742,2.34742,2.61671
psload_medium.txt,491,100,3.11197,0.983658,3.10906,2.16928,3.10906,3.10906,3.10906,3.46605
psload_small.txt,6,1,2.31887,0.998407,2.30735,2.16928,2.29277,2.31077,2.30735,1.69488
psmerge_medium.txt,843,195,675.741,0.97674,648.961,640.373,640.373,640.373,640.373,570.104
psmerge_small.txt,82,77,790.126,0.953826,684.622,640.373,785.116,785.116,712.099,613.508
scoop_large..txt,103,100,41.9868,0.963584,41.9864,39.0905,41.9864,41.9864,41.9864,27.5711
scoop_large.txt,103,100,51.4142,0.978801,42.204,39.0905,44.3927,44.3927,44.3927,34.0448
scoop_medium.txt,53,50,45.81,0.975519,42.204,39.0905,44.3927,44.3927,44.3927,28.6498
scoop_small.txt,8,5,51.9838,0.979521,42.204,39.0905,44.8683,44.8683,44.8683,30.2222
